cell,GLM,NN-DeepSharedDeepHead-TL-CNN,NN-DeepSharedDeepHead-TL-MLP,NN-DeepSharedDeepHead-TL-RNN,NN-DeepSharedShallowHead-TL-CNN,NN-DeepSharedShallowHead-TL-MLP,NN-DeepSharedShallowHead-TL-RNN,NN-PerCell-CNN,NN-PerCell-MLP,NN-PerCell-RNN,NN-ShallowSharedDeepHead-TL-CNN,NN-ShallowSharedDeepHead-TL-MLP,NN-ShallowSharedDeepHead-TL-RNN,XGBoost
27,0.007254128301742546,0.031764692846260045,0.05364969224776295,0.051636677041566936,0.0501917167155419,0.0450932909432008,0.05533193380960033,-0.0006483093678022467,0.0016479354722933603,0.03691568627920516,0.03745621991434389,0.029067274479108396,0.0419391312476739,-0.0012056581701660463
28,0.024190414988702114,0.06812709368227576,0.07059501666636747,0.08617567367721113,0.07415987950275393,0.06564766840373892,0.07793620817539137,-0.0022020270069369463,0.03474721884252796,0.08861416361844787,0.07574108688784886,0.05595894312720384,0.07027234084438527,0.04449941736383234
29,0.030820501070225825,0.04542247843056668,0.054254242164124555,0.0689677592532495,0.038663713446280834,0.04489070684901186,0.06490282768094835,-0.0009171460069006265,0.05110745596501309,0.028296369739133298,0.034320919867658506,0.040360754576093116,0.07096630227790246,0.050575027638651404
30,0.005871464680042515,0.0011285572706536406,0.005378969527954691,0.01008555625094576,0.018083014097087458,-0.0010203680810574323,0.002072776400554477,0.002905185923591569,0.003471477329559436,0.005424138754616559,0.0027043509514470543,0.001253788438325909,0.009984374894397074,-0.015485527467773208
31,0.045303568148472806,0.19218682140953158,0.20089873717266393,0.18223225717358715,0.18168554135104575,0.18839099554224026,0.19703827277152297,0.11943891590828348,0.12047477762651304,0.14391140826257454,0.20238093251273204,0.1892204610495717,0.15452440085959818,0.1433579929636869
32,0.0176621560556246,0.020171362631187684,0.025283843641837445,0.014994910454437904,0.023382894853800185,0.02317208663180559,0.01939189112711115,-0.0003348619759659943,0.021066342554464157,-0.003059793618217288,0.024237560568704186,0.01725765416169034,0.0015179450360026658,0.015075887327519966
33,0.026094267008190175,0.0679948589602355,0.06594441082231595,0.08182431007047652,0.05344523859013106,0.05796092538947728,0.07478418132609377,0.03579492552282926,0.06218306089802794,0.05990001680768253,0.06677197654933276,0.061793503408615225,0.06873423417667512,0.026485793813384007
34,0.015409355701149097,0.16968682399649948,0.1628953307163763,0.15383978049209424,0.1854518330752699,0.13717244226403236,0.14494853987738332,0.07061621586283229,0.11336897224206288,0.14948728291313418,0.17314251135173997,0.16668127766657104,0.13920897527871845,0.1427870009068507
35,0.00504184589439427,0.04715438536610139,0.03818997516236011,0.0596215080435718,0.034465935285972416,0.030602034213249252,0.05890653448471306,-0.0010832276164705057,0.015324909630143435,0.024900340499278584,0.04573098097572881,0.033382796575800455,0.04654844467984298,0.04597494297366855
36,0.01660158010211954,0.010406017224596775,0.030192949330650976,0.03763443305893155,0.014124917694760986,0.02891839503506033,0.030977669733821322,0.002991581094591411,0.014275444962089101,0.039574366439041886,0.020854356682525,0.02553270540134489,0.014803197899113218,0.033415702402590175
37,0.040386851935676704,0.10514760169544668,0.11799925932667943,0.135124641596999,0.12112690659658332,0.10225368150894787,0.13611201041551124,0.09717899774364003,0.07973928408679753,-0.015458636056036923,0.12990821813058606,0.11718687636088732,0.12047840242730468,0.11101702046868789
38,0.03144154847936176,0.04375566867070635,0.0722932830659726,0.08371398923655227,0.0678734661051188,0.0719983393424789,0.07832666146763001,0.04005224591062917,0.04864451951029458,0.039594473847363365,0.07896299650557748,0.07659448943819913,0.07097648221677921,0.07464510912193245
